Store Name,Address,lat,lon
タイトーＦ郡山オリエントパーク店,福島県郡山市安積町荒井字大久保３５−１,37.3759613,140.3462481
ｎａｍｃｏイオンタウン郡山店,福島県郡山市松木町２−８８イオンタウン郡山内,37.3887066,140.3906399
ＧｉＧＯ日和田,福島県郡山市日和田町字西中島７−１,37.4481904,140.3804082
ラウンドワン郡山店,福島県郡山市向河原町４−５５,37.4022993,140.3956602
ＧｉＧＯ福島南,福島県福島市黒岩字中島７−２,37.7278039,140.4671665
サープラ福島あそびタウン,福島県福島市栄町１−１　パワーシティーピボット内,37.754528,140.4587687
ＧｉＧＯ福島,福島県福島市本内中井１−２,37.7852398,140.4876021
ラウンドワン福島店,福島県福島市太田町14-18,37.7525667,140.4561436
嶺宝スポーツセンター,福島県いわき市小名浜住吉折返２−２,36.9740136,140.8904142
ソユーゲームフィールド小名浜店,福島県いわき市小名浜字辰巳町７９イオンモールいわき小名浜３Ｆ,36.9464511,140.9069115
モーリーファンタジーいわき,福島県いわき市平字三倉６８−１イオン３Ｆ,37.0505621,140.8984907
ＧｉＧＯ会津若松,福島県会津若松市町北町上荒久田字宮下１４２,37.5179154,139.9315302
スウィーツファクトリーパックン会津若松,福島県会津若松市幕内南町９−１０　ＭＥＧＡドンキ２階,37.4834927,139.9043842
ＧｉＧＯ白河,福島県白河市新高山１−１　メガステージ白河内,37.1181525,140.1941574
ＳＯＹＵ　Ｅ−ＳＴＵＤＩＯ須賀川店,福島県須賀川市古河１０５イオンタウン須賀川Ｂ棟内,37.2983025,140.3857739
ＰＡＬＯ喜多方,福島県喜多方市字押切南２−４２−１リオンドールガーデンＳＱ内,37.64597699999999,139.8585205
ＧｉＧＯ水戸,茨城県水戸市宮町１−７−４４コムボックス３１０,36.3696765,140.4745603
スタジオプリモ水戸店,茨城県水戸市宮町１−２−４マイム１F,36.371406,140.476867
ピンクパンサー水戸赤塚店,茨城県水戸市河和田1-1,36.38137,140.414733
ゲームメガ水戸けやき台店,茨城県水戸市酒門町３２７６−１,36.3380073,140.48322
ユーズランド水戸内原店,茨城県水戸市内原２−１イオンモール水戸内原２Ｆ,36.37454,140.3594193
ＧｉＧＯ水戸南,茨城県水戸市千波町２０１７−１,36.3502957,140.443029
ＧｉＧＯ日立,茨城県日立市田尻町３−２６−１,36.6264229,140.6697695
ゲームメガ日立店,茨城県日立市東多賀町５−１０−１０,36.5482143,140.6304785
ＧｉＧＯヒタチエ,茨城県日立市幸町１丁目１６番１号ヒタチエ５階,36.591771,140.65903
アミューズビバ,茨城県ひたちなか市東大島２−１１−１１,36.406336,140.5317819
ＧｉＧＯひたちなか,茨城県ひたちなか市田中後４０−２,36.3474633,140.5801162
ＧｉＧＯ　ＭＥＧＡドン･キホーテ勝田,茨城県ひたちなか市石川町１‐１,36.3931062,140.5274968
ゲームメガつくば店,茨城県つくば市小野崎１７７−２,36.0770701,140.1046071
ＧｉＧＯデイズタウンつくば,茨城県つくば市竹園１—９−２デイズタウンつくば地下１Ｆ,36.0776927,140.115331
ｎａｍｃｏiiasつくば店,茨城県つくば市研究学園5-19　iiasつくば店2F2190,36.0864047,140.0839981
ｎａｍｃｏイオンモールつくば店,茨城県つくば市稲岡66-1ｲｵﾝﾓｰﾙつくば店3F,36.0348544,140.1340818
ＧｉＧＯトナリエクレオつくば,茨城県つくば市吾妻１丁目７−１　トナリエクレオ３Ｆ,36.0805955,140.1123841
ＧｉＧＯ石岡,茨城県石岡市東大橋中峯１９７６−１,36.1947671,140.3138875
